"","year","month","delay_carrier","delay_weather","delay_nas","delay_security","delay_late"
"1",2003,6,1206760,283195,1394916,21982,1320235
"2",2003,7,1484555,403858,1942521,8660,1893563
"3",2003,8,1506419,441415,2044125,13214,1833597
"4",2003,9,836508,160312,1325991,2957,881329
"5",2003,10,934084,113669,1077892,11424,922602
"6",2003,11,1066186,248936,1921618,5796,1341494
"7",2003,12,1531842,335735,2153278,16088,1849036
"8",2004,1,1723185,537786,2310463,15364,1922724
"9",2004,2,1331459,364234,1996455,11295,1685452
"10",2004,3,1288518,214701,1787331,8872,1687536
"11",2004,4,1161420,191870,1505284,9601,1349671
"12",2004,5,1521686,529168,2665016,8724,2257148
"13",2004,6,1946065,702461,2750596,14876,2843794
"14",2004,7,1971727,466874,2437579,14033,2680464
"15",2004,8,1718626,471948,2054527,15655,2444041
"16",2004,9,1085339,227281,1266018,23856,1104313
"17",2004,10,1308635,319073,1545249,11628,1599119
"18",2004,11,1474893,416112,1862361,18773,1959762
"19",2004,12,2301520,595952,2291475,26542,3032195
"20",2005,1,2067784,601992,2373719,13152,2564397
"21",2005,2,1492652,315848,1876506,7289,1778646
"22",2005,3,1848181,377667,2209616,22559,2367218
"23",2005,4,1335380,242815,1298076,8652,1379302
"24",2005,5,1385037,257587,1385878,5329,1530562
"25",2005,6,2065172,494727,2445503,10144,2801540
"26",2005,7,2516919,727936,3128157,13948,3894650
"27",2005,8,2164422,507289,2227201,20258,2661527
"28",2005,9,1349963,200089,1238216,6318,1255912
"29",2005,10,1381005,287169,1689471,9160,1624195
"30",2005,11,1522750,257998,1797001,5883,1620211
"31",2005,12,2312615,442673,2376853,18353,2679447
"32",2006,1,1716094,350723,1805841,8056,1971851
"33",2006,2,1658066,333845,1803968,22340,2111853
"34",2006,3,1896227,333336,2089504,18280,2657080
"35",2006,4,1687855,273740,1741250,23017,2246792
"36",2006,5,1726870,322533,1927774,7559,2403513
"37",2006,6,2488811,608474,2332203,11849,3390729
"38",2006,7,2599148,551181,2282707,11401,3457827
"39",2006,8,2246758,452936,2022056,64327,2859965
"40",2006,9,1838438,405927,2317486,13413,2453058
"41",2006,10,2129345,439564,2738419,11375,3009885
"42",2006,11,1783605,335112,2195925,10087,2286567
"43",2006,12,2484077,446472,2353582,19667,3396696
"44",2007,1,2200212,505125,2234312,12124,2904995
"45",2007,2,2618501,646296,2208587,14144,3395999
"46",2007,3,2548581,404860,2304310,13737,3321925
"47",2007,4,2078632,317424,2205125,14453,2826618
"48",2007,5,1919316,382267,2063976,11686,2487334
"49",2007,6,2992281,803209,3244260,20560,4370859
"50",2007,7,3008057,698240,2811468,23045,4275001
"51",2007,8,2866013,547181,2701698,17971,3933045
"52",2007,9,1748246,246889,1495285,11244,1792796
"53",2007,10,1908292,287745,2127859,11612,2338823
"54",2007,11,1726179,203195,1753846,8190,2090662
"55",2007,12,3212760,702867,3058749,18180,4268886
"56",2008,1,2355954,429828,2422180,12912,3145788
"57",2008,2,2398296,544326,2572644,11361,3495284
"58",2008,3,2527895,474687,2487133,15117,3344243
"59",2008,4,1926766,268806,1964005,7645,2277313
"60",2008,5,1722631,240013,1996671,9751,2244264
"61",2008,6,2482267,571832,3226918,10614,3580641
"62",2008,7,2417097,555794,2716037,13126,3062892
"63",2008,8,2130584,398906,2068748,7414,2490422
"64",2008,9,1218688,157032,1177489,4823,1075911
"65",2008,10,1145054,105092,1102384,5285,1149195
"66",2008,11,1121975,139442,1527896,4087,1525169
"67",2008,12,2601010,747959,2909396,12181,4279120
"68",2009,1,1553366,367294,1762603,6491,1922237
"69",2009,2,1138257,151866,1434960,3605,1374484
"70",2009,3,1565861,285155,1855778,6230,2214624
"71",2009,4,1509781,353424,2017471,4156,2197572
"72",2009,5,1379106,238418,1767069,4936,1836784
"73",2009,6,1965403,414439,2151260,8071,2688529
"74",2009,7,2013731,330616,1885143,7001,2609028
"75",2009,8,1801093,283920,1664002,11387,2223395
"76",2009,9,1123914,143152,960110,3015,1083813
"77",2009,10,1526817,208114,1933420,6832,2125360
"78",2009,11,937489,72053,759259,1876,849281
"79",2009,12,1991245,441926,2029211,15226,2785160
"80",2010,1,1578882,258297,1411991,22679,1853069
"81",2010,2,1465833,308111,1389019,10212,1952183
"82",2010,3,1649112,227050,1463005,9999,2155386
"83",2010,4,1232548,121930,930462,8255,1377309
"84",2010,5,1588921,277376,1591463,5973,2169646
"85",2010,6,2023987,324997,1721647,7033,2854716
"86",2010,7,2119493,340059,1649654,9321,2889404
"87",2010,8,1673889,200689,1244824,6677,2099758
"88",2010,9,1164541,144822,1014346,3548,1312022
"89",2010,10,1306074,145112,1100194,5352,1697742
"90",2010,11,1257261,109983,1015379,4723,1542877
"91",2010,12,2156964,326786,1697134,13638,3014141
"92",2011,1,1538345,227464,1211385,11309,2042602
"93",2011,2,1463091,258294,1267792,7112,2049487
"94",2011,3,1637022,141124,1344471,6410,2321420
"95",2011,4,1731194,247048,1735882,7915,2634299
"96",2011,5,1687179,344779,1700346,8222,2612917
"97",2011,6,1998069,315736,1512665,9972,2773488
"98",2011,7,1984345,280585,1493581,4909,2886690
"99",2011,8,1755406,303533,1361589,7952,2319010
"100",2011,9,1235940,134094,1014824,5110,1498751
"101",2011,10,1169218,104732,863539,4860,1299193
"102",2011,11,1084221,76733,907791,3788,1262904
"103",2011,12,1269211,124251,889345,3794,1479004
"104",2012,1,1191729,215457,984413,3706,1455120
"105",2012,2,1055852,116626,684334,5986,1129731
"106",2012,3,1534771,199416,1038001,3954,1967898
"107",2012,4,1188623,144825,644874,4733,1326988
"108",2012,5,1428053,235352,1046010,6216,1770914
"109",2012,6,1794914,218325,1176826,7133,2329067
"110",2012,7,2170627,380130,1740721,6763,3345433
"111",2012,8,1916579,222523,1333356,10177,2683506
"112",2012,9,1405706,109777,1043458,5301,1697951
"113",2012,10,1470511,89858,1093078,6015,1807055
"114",2012,11,1200259,99977,714364,3883,1425403
"115",2012,12,1807832,247544,1329387,9185,2630486
"116",2013,1,1564374,233603,1148931,6304,1845040
"117",2013,2,1415721,190890,1119658,4718,1762843
"118",2013,3,1666872,226006,1447591,8131,2356192
"119",2013,4,1808722,270386,1765792,7743,2795392
"120",2013,5,1674148,260324,1592755,7095,2563182
"121",2013,6,2439539,508863,2243833,9445,4158715
"122",2013,7,2448255,343062,2170773,8541,3758093
"123",2013,8,1852201,206418,1398283,7732,2647163
"124",2013,9,1288132,158422,1014977,5186,1729915
"125",2013,10,1293737,78051,932630,4585,1609252
"126",2013,11,1294123,109446,897294,25367,1619559
"127",2013,12,2391073,388682,1694349,8804,3450689
"128",2014,1,2384451,578051,1476657,5353,3243417
"129",2014,2,1762191,286760,1369808,4337,2394565
"130",2014,3,1723617,163780,1168846,3821,2292184
"131",2014,4,1489021,142051,1185096,4055,2058940
"132",2014,5,1772666,270690,1493938,6731,2549799
"133",2014,6,2174769,379880,1788826,6428,3405382
"134",2014,7,2100005,319170,1503200,5460,2937179
"135",2014,8,1832082,291580,1381727,7436,2553660
"136",2014,9,1333490,127408,1200983,6411,1693425
"137",2014,10,1427068,132092,1416315,4033,1989656
"138",2014,11,1393829,155442,1117363,4155,1846457
"139",2014,12,1866220,141765,1416790,7130,2519320
"140",2015,1,1708155,263087,1278055,6700,2183865
"141",2015,2,1712660,411265,1349173,4580,2157918
"142",2015,3,1818680,228661,1228893,6586,2156090
"143",2015,4,1490594,221590,1118027,3660,1785437
"144",2015,5,1667920,336555,1254652,5711,2172521
"145",2015,6,2296333,380699,1630868,7084,3055836
"146",2015,7,2021379,232468,1343455,6821,2782381
"147",2015,8,1819598,265792,1274603,11993,2244485
"148",2015,9,1176791,137043,786621,5968,1185164
"149",2015,10,1206011,109225,802697,3040,1194257
"150",2015,11,1358705,186950,981254,8740,1505055
"151",2015,12,1896130,326898,1287464,10102,2538922
"152",2016,1,1482987,201062,898816,5700,1533564
"153",2016,2,1277100,210953,1018818,4119,1484498
"154",2016,3,1493321,173779,1302715,7949,1883806
"155",2016,4,1287970,134966,893529,4833,1527439
"156",2016,5,1429722,224874,1025535,5808,1730775
"157",2016,6,2048146,307635,1364953,10938,2668568
"158",2016,7,2497902,424589,1872888,7017,3295331
"159",2016,8,2339274,278303,1637369,14526,2752268
"160",2016,9,1222274,145223,964077,4145,1331620
